epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.3395,0.00854,1.70816,1.49665,0.34907,0.5025,0.37591,0.21428,0.01123,1.74914,1.61444,0.00332803,0.00332803,0.0700477
2,165.993,0.0057,1.21611,1.13255,0.41525,0.42794,0.39388,0.2629,0.00929,2.02252,1.36051,0.00663938,0.00663938,0.0400257
3,244.12,0.00597,1.226,1.14815,0.23967,0.44012,0.17072,0.07896,0.01407,2.68458,2.0638,0.00992874,0.00992874,0.00998173
4,321.489,0.00616,1.22918,1.15847,0.14849,0.12014,0.04545,0.00915,0.02293,3.41254,3.83,0.009901,0.009901,0.009901
5,399.917,0.00575,1.16357,1.12438,0.41381,0.52108,0.38465,0.19225,0.01192,2.18217,1.73607,0.009868,0.009868,0.009868
6,477.467,0.00539,1.11763,1.09734,0.01581,0.04813,0.01033,0.00161,0.02623,4.14794,4.32789,0.009835,0.009835,0.009835
7,555.282,0.00513,1.0744,1.07803,0.03995,0.12745,0.0256,0.01379,0.01899,4.54397,3.04784,0.009802,0.009802,0.009802
8,632.676,0.00492,1.03556,1.06599,0.4004,0.23836,0.24545,0.06864,0.01568,2.74764,2.33088,0.009769,0.009769,0.009769
9,710.571,0.00473,1.00971,1.05028,0.51917,0.58529,0.62323,0.50108,0.00505,1.1029,0.87486,0.009736,0.009736,0.009736
10,789.073,0.0046,0.98885,1.04248,0.10723,0.06007,0.03418,0.0076,0.02058,3.75633,2.94384,0.009703,0.009703,0.009703
11,866.294,0.00457,0.97807,1.03735,0.21364,0.12938,0.08571,0.02578,0.01758,3.16084,2.92385,0.00967,0.00967,0.00967
12,943.853,0.0044,0.95405,1.02514,0.62037,0.63113,0.71349,0.63149,0.00374,0.94175,0.79485,0.009637,0.009637,0.009637
13,1021.56,0.0043,0.93645,1.02161,0.62989,0.64806,0.73147,0.64804,0.00375,0.92346,0.78478,0.009604,0.009604,0.009604
14,1098.37,0.00421,0.92021,1.01396,0.61331,0.62495,0.6863,0.56195,0.00504,0.98485,0.86957,0.009571,0.009571,0.009571
15,1176.46,0.00415,0.91691,1.00952,0.01591,0.02888,0.0013,0.00018,0.02328,5.5592,4.42091,0.009538,0.009538,0.009538
16,1254.02,0.00413,0.91338,1.00993,0.54424,0.43396,0.56687,0.30339,0.01239,1.36761,1.5895,0.009505,0.009505,0.009505
17,1331.07,0.00409,0.90239,1.00345,0.63621,0.5437,0.64705,0.55809,0.0048,1.20141,0.91591,0.009472,0.009472,0.009472
18,1409.23,0.00406,0.90222,1.00446,0.55889,0.66423,0.62391,0.49348,0.00502,1.03796,0.92773,0.009439,0.009439,0.009439
19,1486.75,0.00399,0.89609,0.99874,0.67255,0.64299,0.7543,0.67487,0.00367,0.8751,0.77767,0.009406,0.009406,0.009406
20,1565.07,0.00388,0.86086,0.98567,0.63992,0.66346,0.74403,0.6494,0.0039,0.90447,0.78177,0.009373,0.009373,0.009373
21,1642.98,0.00394,0.86621,0.99075,0.41624,0.57566,0.46553,0.34012,0.00622,1.37589,1.0129,0.00934,0.00934,0.00934
22,1721.61,0.00386,0.86084,0.98468,0.69921,0.65884,0.76545,0.67557,0.00353,0.86428,0.7713,0.009307,0.009307,0.009307
23,1800.09,0.00382,0.85929,0.98705,0.67699,0.66115,0.75952,0.68443,0.00344,0.86252,0.74517,0.009274,0.009274,0.009274
24,1877.29,0.0038,0.85059,0.98297,0.01271,0.03312,0.00159,0.00027,0.02248,5.85568,4.68431,0.009241,0.009241,0.009241
25,1955.08,0.00379,0.85574,0.98079,0.70906,0.62341,0.76463,0.67647,0.0038,0.83749,0.7721,0.009208,0.009208,0.009208
26,2033.27,0.00373,0.85314,0.98155,0.66239,0.62149,0.74884,0.67885,0.00332,0.86805,0.74957,0.009175,0.009175,0.009175
27,2111.08,0.00375,0.84536,0.98117,0.08174,0.2526,0.05696,0.01677,0.01764,3.20345,2.53587,0.009142,0.009142,0.009142
28,2188.95,0.0037,0.83258,0.97461,0.68541,0.64767,0.77036,0.70053,0.0032,0.83069,0.74287,0.009109,0.009109,0.009109
29,2267,0.00361,0.82751,0.97318,0.69309,0.65826,0.78112,0.71955,0.00293,0.81619,0.73705,0.009076,0.009076,0.009076
30,2343.92,0.00363,0.83017,0.97232,0.75989,0.58144,0.76764,0.70062,0.00323,0.86196,0.74387,0.009043,0.009043,0.009043
31,2421.77,0.0036,0.82601,0.96946,0.69367,0.66268,0.78393,0.72493,0.00283,0.81632,0.71842,0.00901,0.00901,0.00901
32,2500.68,0.00353,0.81597,0.96579,0.67302,0.65152,0.75722,0.67309,0.00358,0.8779,0.73786,0.008977,0.008977,0.008977
33,2578.38,0.00356,0.82233,0.96984,0.7038,0.64575,0.779,0.70832,0.00316,0.82163,0.72432,0.008944,0.008944,0.008944
34,2656.25,0.00352,0.81789,0.96902,0.6617,0.70042,0.78018,0.69397,0.00362,0.8109,0.73875,0.008911,0.008911,0.008911
35,2733.72,0.00353,0.81265,0.96692,0.67682,0.65191,0.76339,0.67908,0.00349,0.86075,0.74684,0.008878,0.008878,0.008878
36,2811.58,0.00354,0.81442,0.96989,0.7288,0.65229,0.77877,0.71871,0.00293,0.80729,0.70747,0.008845,0.008845,0.008845
37,2887.67,0.00345,0.81436,0.96495,0.73936,0.64074,0.79338,0.74028,0.00279,0.79961,0.71537,0.008812,0.008812,0.008812
38,2965.81,0.00343,0.7976,0.96107,0.69227,0.65576,0.78172,0.72694,0.00273,0.8087,0.71356,0.008779,0.008779,0.008779
39,3044.18,0.00343,0.80299,0.95987,0.71335,0.66692,0.79383,0.71552,0.00335,0.79129,0.73634,0.008746,0.008746,0.008746
40,3121.81,0.0034,0.79915,0.96185,0.69826,0.68233,0.78784,0.72712,0.00291,0.79596,0.71737,0.008713,0.008713,0.008713
41,3198.84,0.00341,0.79514,0.95923,0.69818,0.68321,0.79459,0.7341,0.00297,0.77851,0.72425,0.00868,0.00868,0.00868
42,3275.83,0.00343,0.80409,0.95783,0.69912,0.68964,0.79161,0.72538,0.00312,0.78226,0.71895,0.008647,0.008647,0.008647
43,3353.94,0.00338,0.79126,0.95801,0.67749,0.66654,0.77998,0.71815,0.00293,0.808,0.71317,0.008614,0.008614,0.008614
44,3431.57,0.00335,0.79306,0.95354,0.7028,0.68541,0.79736,0.74173,0.00271,0.78709,0.69624,0.008581,0.008581,0.008581
45,3509.37,0.00339,0.78976,0.9606,0.7054,0.68597,0.80384,0.75026,0.00263,0.75139,0.694,0.008548,0.008548,0.008548
46,3587.58,0.00337,0.79924,0.95411,0.68319,0.69426,0.78854,0.71448,0.00327,0.78471,0.72021,0.008515,0.008515,0.008515
47,3665.53,0.00333,0.79268,0.9553,0.68656,0.70851,0.80513,0.74188,0.00296,0.75794,0.69906,0.008482,0.008482,0.008482
48,3743.4,0.00329,0.79511,0.9528,0.697,0.68348,0.79345,0.7236,0.00313,0.77104,0.71013,0.008449,0.008449,0.008449
49,3821.81,0.00328,0.78356,0.94948,0.68626,0.70312,0.80252,0.73632,0.00307,0.76203,0.69725,0.008416,0.008416,0.008416
50,3899.47,0.00332,0.78438,0.95383,0.72926,0.67616,0.80567,0.74826,0.00273,0.75074,0.6939,0.008383,0.008383,0.008383
51,3976.76,0.0033,0.77561,0.95039,0.71992,0.68097,0.80735,0.75434,0.00261,0.75848,0.68551,0.00835,0.00835,0.00835
52,4055.07,0.00331,0.77342,0.95319,0.66281,0.71044,0.7929,0.73215,0.00278,0.76959,0.69276,0.008317,0.008317,0.008317
53,4133.05,0.00326,0.76971,0.95223,0.69159,0.68695,0.79986,0.735,0.00297,0.7692,0.69779,0.008284,0.008284,0.008284
54,4211.35,0.00327,0.77111,0.95097,0.69402,0.68233,0.79922,0.71766,0.00334,0.77381,0.71649,0.008251,0.008251,0.008251
55,4289.07,0.00327,0.76961,0.95162,0.71623,0.66731,0.80112,0.73752,0.00295,0.75321,0.70055,0.008218,0.008218,0.008218
56,4366.78,0.00328,0.77606,0.94883,0.70025,0.67347,0.79837,0.72407,0.00319,0.76421,0.71163,0.008185,0.008185,0.008185
57,4445.7,0.00323,0.76862,0.94887,0.67464,0.69542,0.79552,0.72594,0.00306,0.76916,0.70628,0.008152,0.008152,0.008152
58,4523.01,0.00323,0.76914,0.94565,0.69094,0.69234,0.80152,0.73387,0.003,0.75238,0.70266,0.008119,0.008119,0.008119
59,4601.16,0.00322,0.76621,0.94431,0.69579,0.69665,0.80277,0.74142,0.00289,0.75424,0.69725,0.008086,0.008086,0.008086
60,4677.87,0.00319,0.7607,0.94699,0.68388,0.69696,0.79774,0.73326,0.003,0.76207,0.70247,0.008053,0.008053,0.008053
61,4756.86,0.00323,0.77184,0.9425,0.70775,0.67655,0.80016,0.72594,0.0032,0.7626,0.70782,0.00802,0.00802,0.00802
62,4834.03,0.00318,0.76647,0.94388,0.71112,0.68425,0.80852,0.74585,0.00287,0.74912,0.69349,0.007987,0.007987,0.007987
63,4911.44,0.00321,0.76173,0.94843,0.68927,0.69657,0.8045,0.73395,0.00312,0.76123,0.70707,0.007954,0.007954,0.007954
64,4988.72,0.00324,0.75689,0.94821,0.66971,0.7066,0.80354,0.74221,0.00294,0.75907,0.69857,0.007921,0.007921,0.007921
65,5065.73,0.00313,0.74963,0.94083,0.69422,0.69118,0.80536,0.74139,0.003,0.74664,0.70151,0.007888,0.007888,0.007888
66,5143.32,0.00316,0.756,0.94188,0.69157,0.70966,0.80508,0.74273,0.00291,0.73906,0.6965,0.007855,0.007855,0.007855
67,5221.62,0.00313,0.74751,0.93762,0.68673,0.70989,0.80524,0.74759,0.00282,0.73669,0.69146,0.007822,0.007822,0.007822
68,5298.35,0.0031,0.74561,0.93988,0.67744,0.71082,0.80188,0.73775,0.00295,0.74236,0.69596,0.007789,0.007789,0.007789
69,5374.75,0.00314,0.75118,0.94323,0.6629,0.71621,0.79998,0.73551,0.003,0.74701,0.69761,0.007756,0.007756,0.007756
70,5451.74,0.0031,0.75361,0.94227,0.66702,0.71196,0.79983,0.73851,0.00295,0.74562,0.69347,0.007723,0.007723,0.007723
71,5529.91,0.00309,0.74265,0.93949,0.68478,0.7035,0.80412,0.74004,0.00298,0.74299,0.69487,0.00769,0.00769,0.00769
