[Stage0] 找到 137 个 IQ 文件
[Stage0] 输出目录: /mnt/data/rfuav/rfuav_training/preprocessed
  [5/137] 成功=5, 错误=0, 耗时=0.0s
  [10/137] 成功=10, 错误=0, 耗时=0.0s
  [15/137] 成功=15, 错误=0, 耗时=44.0s
  [20/137] 成功=20, 错误=0, 耗时=165.6s
  [25/137] 成功=25, 错误=0, 耗时=284.8s
  [30/137] 成功=30, 错误=0, 耗时=411.7s
  [35/137] 成功=35, 错误=0, 耗时=534.0s
  [40/137] 成功=40, 错误=0, 耗时=660.7s
  [45/137] 成功=45, 错误=0, 耗时=788.3s
  [50/137] 成功=50, 错误=0, 耗时=908.9s
  [55/137] 成功=55, 错误=0, 耗时=1032.0s
  [60/137] 成功=60, 错误=0, 耗时=1134.0s
  [65/137] 成功=65, 错误=0, 耗时=1264.1s
  [70/137] 成功=70, 错误=0, 耗时=1395.1s
  [75/137] 成功=75, 错误=0, 耗时=1510.3s
  [80/137] 成功=80, 错误=0, 耗时=1642.9s
  [85/137] 成功=85, 错误=0, 耗时=1776.5s
  [90/137] 成功=90, 错误=0, 耗时=1908.8s
  [95/137] 成功=95, 错误=0, 耗时=2043.3s
  [100/137] 成功=100, 错误=0, 耗时=2177.9s
  [105/137] 成功=105, 错误=0, 耗时=2316.6s
  [110/137] 成功=110, 错误=0, 耗时=2439.8s
  [115/137] 成功=115, 错误=0, 耗时=2558.3s
  [120/137] 成功=120, 错误=0, 耗时=2695.8s
  [125/137] 成功=125, 错误=0, 耗时=2835.1s
  [130/137] 成功=130, 错误=0, 耗时=2962.6s
  [135/137] 成功=135, 错误=0, 耗时=3092.8s
[Stage0] 完成! 成功=137, 错误=0, 总耗时=3143.4s
[Stage0] 日志已保存: /root/.openclaw/workspace/RF-Training/logs/training/stage0_log.json
